,image,xmin,ymin,xmax,ymax,label,path
0,00046IMG_00046_BURST20190912100516.jpg,1015.631692,592.977492,2006.364026,1558.533762,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912100516.jpg
1,00045IMG_00045_BURST20190913115038.jpg,1068.051392,1143.974277,1613.216274,1721.209003,Eocanthecona_Bug,Eocanthecona_Bug/00045IMG_00045_BURST20190913115038.jpg
2,00046IMG_00046_BURST20190912100618.jpg,522.8865096,855.3569132,1482.167024,1715.961415,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912100618.jpg
3,00046IMG_00046_BURST20190912100717.jpg,853.130621,750.4051447,1702.329764,1584.771704,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912100717.jpg
4,00046IMG_00046_BURST20190912100850.jpg,1461.199143,981.2990354,2100.719486,1763.189711,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912100850.jpg
5,00046IMG_00046_BURST20190912101631.jpg,1534.586724,1353.877814,2448.0,2209.234727,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912101631.jpg
6,00046IMG_00046_BURST20190912101836.jpg,1214.826552,624.4630225,1880.556745,1275.163987,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912101836.jpg
7,00046IMG_00046_BURST20190912101022.jpg,984.1798715,1248.926045,1796.685225,2146.263666,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912101022.jpg
8,00046IMG_00046_BURST20190913102614.jpg,999.9057816,1227.935691,1644.668094,1857.646302,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190913102614.jpg
9,00046IMG_00046_BURST20190912101457.jpg,1288.165259,968.1800643,1926.003619,1692.347267,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190912101457.jpg
10,00046IMG_00046_BURST20190913115038.jpg,931.7601713,1233.18328,1403.537473,1810.418006,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190913115038.jpg
11,00046IMG_00046_BURST20190913103037.jpg,851.1278649,952.437299,1406.283474,1397.170418,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190913103037.jpg
12,00046IMG_00046_BURST20190913102732.jpg,895.0663812,1096.745981,1602.732334,1763.189711,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190913102732.jpg
13,00046IMG_00046_BURST20190913102845.jpg,1099.503212,886.8424437,2168.865096,1689.723473,Eocanthecona_Bug,Eocanthecona_Bug/00046IMG_00046_BURST20190913102845.jpg
14,00047IMG_00047_BURST20190912100516.jpg,1104.745182,650.7009646,2153.139186,1626.752412,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912100516.jpg
15,00047IMG_00047_BURST20190912101457.jpg,1193.670688,940.6302251,1906.31725,1751.382637,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912101457.jpg
16,00047IMG_00047_BURST20190912100618.jpg,318.4496788,897.3376206,1455.957173,1910.122186,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912100618.jpg
17,00047IMG_00047_BURST20190912100717.jpg,811.1948608,802.8810289,1828.137045,1637.247588,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912100717.jpg
18,00047IMG_00047_BURST20190912100850.jpg,1403.537473,1243.678457,2126.929336,2041.311897,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912100850.jpg
19,00047IMG_00047_BURST20190912101022.jpg,1026.115632,1637.247588,1739.023555,2377.157556,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912101022.jpg
20,00047IMG_00047_BURST20190913102845.jpg,1094.261242,976.0514469,1964.428266,1799.92283,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190913102845.jpg
21,00047IMG_00047_BURST20190913102732.jpg,921.2762313,1159.717042,1576.522484,1847.151125,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190913102732.jpg
22,00047IMG_00047_BURST20190912101631.jpg,1686.603854,965.5562701,2425.721627,1752.694534,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912101631.jpg
23,00047IMG_00047_BURST20190912101836.jpg,868.856531,850.1093248,1403.537473,1479.819936,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190912101836.jpg
24,00047IMG_00047_BURST20190913102614.jpg,1057.567452,1343.382637,1854.346895,1983.588424,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190913102614.jpg
25,00048IMG_00048_BURST20190912100516.jpg,1036.599572,650.7009646,2142.655246,1595.266881,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912100516.jpg
26,00048IMG_00048_BURST20190912100717.jpg,847.888651,766.14791,1791.443255,1626.752412,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912100717.jpg
27,00048IMG_00048_BURST20190912100618.jpg,999.9057816,1044.270096,2378.543897,2172.501608,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912100618.jpg
28,00047IMG_00047_BURST20190913115038.jpg,999.9057816,1238.430868,1529.344754,1747.446945,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190913115038.jpg
29,00047IMG_00047_BURST20190913103037.jpg,878.6887817,972.1157556,1386.597105,1460.141479,Eocanthecona_Bug,Eocanthecona_Bug/00047IMG_00047_BURST20190913103037.jpg
30,00048IMG_00048_BURST20190912101457.jpg,1051.92883,1117.736334,1630.708082,1704.154341,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912101457.jpg
31,00048IMG_00048_BURST20190912101022.jpg,1125.713062,1789.427653,2058.783726,2639.536977,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912101022.jpg
32,00048IMG_00048_BURST20190912101836.jpg,1256.762313,1091.498392,2064.025696,1726.456592,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912101836.jpg
33,00048IMG_00048_BURST20190912100850.jpg,1372.085653,1065.26045,2163.623126,1931.11254,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912100850.jpg
34,00048IMG_00048_BURST20190912101631.jpg,1581.764454,1033.77492,2289.430407,1616.257235,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190912101631.jpg
35,00048IMG_00048_BURST20190913102732.jpg,847.888651,1259.421222,1508.376874,1941.607717,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190913102732.jpg
36,00048IMG_00048_BURST20190913102845.jpg,916.0342612,1107.241158,1681.361884,1789.427653,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190913102845.jpg
37,00048IMG_00048_BURST20190913102614.jpg,1041.841542,1275.163987,1707.571734,1868.141479,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190913102614.jpg
38,00048IMG_00048_BURST20190913103037.jpg,957.4342581,976.0514469,1496.840772,1475.884244,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190913103037.jpg
39,00048IMG_00048_BURST20190913115038.jpg,1094.261242,1280.411576,1613.216274,1868.141479,Eocanthecona_Bug,Eocanthecona_Bug/00048IMG_00048_BURST20190913115038.jpg
