image,xmin,ymin,xmax,ymax,label
00046IMG_00046_BURST20190912100516.jpg,1015.631692,592.977492,2006.364026,1558.533762,Eocanthecona_Bug
00045IMG_00045_BURST20190913115038.jpg,1068.051392,1143.974277,1613.216274,1721.209003,Eocanthecona_Bug
00046IMG_00046_BURST20190912100618.jpg,522.8865096,855.3569132,1482.167024,1715.961415,Eocanthecona_Bug
00046IMG_00046_BURST20190912100717.jpg,853.130621,750.4051447,1702.329764,1584.771704,Eocanthecona_Bug
00046IMG_00046_BURST20190912100850.jpg,1461.199143,981.2990354,2100.719486,1763.189711,Eocanthecona_Bug
00046IMG_00046_BURST20190912101631.jpg,1534.586724,1353.877814,2448,2209.234727,Eocanthecona_Bug
00046IMG_00046_BURST20190912101836.jpg,1214.826552,624.4630225,1880.556745,1275.163987,Eocanthecona_Bug
00046IMG_00046_BURST20190912101022.jpg,984.1798715,1248.926045,1796.685225,2146.263666,Eocanthecona_Bug
00046IMG_00046_BURST20190913102614.jpg,999.9057816,1227.935691,1644.668094,1857.646302,Eocanthecona_Bug
00046IMG_00046_BURST20190912101457.jpg,1288.165259,968.1800643,1926.003619,1692.347267,Eocanthecona_Bug
00046IMG_00046_BURST20190913115038.jpg,931.7601713,1233.18328,1403.537473,1810.418006,Eocanthecona_Bug
00046IMG_00046_BURST20190913103037.jpg,851.1278649,952.437299,1406.283474,1397.170418,Eocanthecona_Bug
00046IMG_00046_BURST20190913102732.jpg,895.0663812,1096.745981,1602.732334,1763.189711,Eocanthecona_Bug
00046IMG_00046_BURST20190913102845.jpg,1099.503212,886.8424437,2168.865096,1689.723473,Eocanthecona_Bug
00047IMG_00047_BURST20190912100516.jpg,1104.745182,650.7009646,2153.139186,1626.752412,Eocanthecona_Bug
00047IMG_00047_BURST20190912101457.jpg,1193.670688,940.6302251,1906.31725,1751.382637,Eocanthecona_Bug
00047IMG_00047_BURST20190912100618.jpg,318.4496788,897.3376206,1455.957173,1910.122186,Eocanthecona_Bug
00047IMG_00047_BURST20190912100717.jpg,811.1948608,802.8810289,1828.137045,1637.247588,Eocanthecona_Bug
00047IMG_00047_BURST20190912100850.jpg,1403.537473,1243.678457,2126.929336,2041.311897,Eocanthecona_Bug
00047IMG_00047_BURST20190912101022.jpg,1026.115632,1637.247588,1739.023555,2377.157556,Eocanthecona_Bug
